beach_id,grad,udaljenost_km
625,Vodice,0.69
626,Vodice,1.21
627,Vodice,1.05
628,Vodice,4.46
629,Vodice,3.21
630,Vodice,1.4
631,Vodice,2.71
632,Vodice,2.39
633,Vodice,0.95
634,Vodice,0.57
635,Vodice,0.75
636,Vodice,0.61
637,Vodice,0.88
638,Bol,0.74
639,Bol,1.3
640,Bol,1.63
641,Bol,1.48
642,Milna,1.11
643,Milna,0.87
644,Postira,0.45
645,Postira,0.56
646,Postira,0.39
647,Povlja,0.28
648,Povlja,1.05
649,Pučišća,0.09
650,Pučišća,0.09
651,Selca,2.04
652,Splitska,0.22
653,Sumartin,0.39
654,Sumartin,0.45
655,Supetar,0.69
656,Supetar,0.69
657,Supetar,0.61
658,Supetar,1.23
659,Supetar,1.27
660,Supetar,0.34
661,Supetar,0.5
662,Sutivan,0.27
663,Sutivan,0.31
664,Hvar,10.37
665,Hvar,9.94
666,Hvar,9.89
667,Hvar,9.93
668,Hvar,5.8
669,Hvar,5.9
670,Hvar,9.24
671,Hvar,9.11
672,Hvar,8.28
673,Hvar,8.37
674,Jelsa,0.79
675,Jelsa,0.96
676,Stari Grad,1.13
677,Stari Grad,1.18
678,Stari Grad,2.57
679,Vrboska,1.57
680,Kaštel Gomilica,0.0
681,Kaštel Kambelovac,0.0
682,Kaštel Lukšić,0.17
683,Kaštel Lukšić,0.17
684,Kaštel Stari,0.31
685,Kaštel Stari,0.31
686,Kaštel Sućurac,0.0
687,Kaštel Štafilić,0.0
688,Resnik,0.0
689,Baška Voda,0.29
690,Baška Voda,0.58
691,Baška Voda,0.15
692,Baška Voda,0.3
693,Baška Voda,0.49
694,Bračtuš,0.0
695,Brela,0.86
696,Brela,0.7
697,Brela,0.84
698,Brela,0.19
699,Brela,0.31
700,Brela,2.08
701,Brist,0.06
702,Drašnice,0.0
703,Drvenik,0.06
704,Drvenik,1.0
705,Gradac,0.36
706,Igrane,0.28
707,Krvavica,0.56
708,Makarska,2.9
709,Makarska,1.3
710,Makarska,0.69
711,Makarska,0.77
712,Podgora,0.36
713,Podgora,0.67
714,Tučepi,0.32
715,Tučepi,0.92
716,Tučepi,0.62
717,Zaostrog,0.3
718,Živogošće,1.63
719,Živogošće,1.63
720,Duće,0.75
721,Duće,0.75
722,Dugi Rat,4.21
723,Dugi Rat,0.78
724,Dugi Rat,0.27
725,Dugi Rat,3.61
726,Dugi Rat,1.49
727,Lokva Rogoznica,1.8
728,Omiš,1.77
729,Omiš,0.45
730,Omiš,1.39
731,Omiš,1.17
732,Omiš,1.17
733,Omiš,2.73
734,Pisak,0.11
735,Podstrana,2.03
736,Podstrana,1.84
737,Podstrana,2.43
738,Split,1.42
739,Split,1.22
740,Split,1.32
741,Split,3.14
742,Split,1.67
743,Split,1.3
744,Split,2.72
745,Split,2.04
746,Split,3.25
747,Split,7.08
748,Split,1.8
749,Split,3.49
750,Split,3.12
751,Maslinica,0.44
752,Rogač,0.0
753,Marina,0.87
754,Marina,2.19
755,Marina,0.78
756,Seget,0.87
757,Seget,0.38
758,Seget,1.68
759,Seget,0.79
760,Seget,1.91
761,Arbanija,0.84
762,Arbanija,1.2
763,Okrug Donji,1.17
764,Okrug Donji,1.22
765,Okrug Gornji,0.72
766,Okrug Gornji,1.55
767,Okrug Gornji,0.52
768,Okrug Gornji,0.72
769,Okrug Gornji,1.12
770,Saldun,0.04
771,Split/Šlatine,0.0
772,Trogir,1.18
773,Trogir,2.15
774,Komiža,0.33
775,Komiža,0.33
776,Vis,4.39
777,Vis,3.0
778,Vis,3.92
779,Dubrovačko primorje,1.32
780,Dubrovačko primorje,0.29
781,Dubrovnik,14.48
782,Konavle,16.14
783,Konavle,16.65
784,Konavle,16.18
785,Konavle,16.78
786,Dubrovačko primorje,4.93
787,Dubrovnik,2.04
788,Dubrovnik,1.08
789,Dubrovnik,2.44
790,Dubrovnik,0.36
791,Dubrovnik,3.34
792,Dubrovnik,2.79
793,Dubrovnik,3.35
794,Dubrovnik,2.21
795,Dubrovnik,3.18
796,Dubrovnik,2.44
797,Dubrovnik,2.71
798,Dubrovnik,7.97
799,Dubrovnik,2.9
