beach_id,marina_id,udaljenost_km
66,node/1394720950,2.77
66,node/1599814456,8.38
66,node/2008968277,4.38
66,node/11483245295,4.53
66,node/11833156908,0.54
67,node/1394720950,3.61
67,node/1599814456,9.39
67,node/2008968277,3.06
67,node/11483245295,3.22
67,node/11833156908,1.88
70,node/418342927,7.97
70,node/2008968277,7.4
70,node/11483245295,7.26
71,node/418342927,8.24
71,node/2008968277,7.11
71,node/11483245295,6.97
72,node/1394720950,9.71
72,node/2008968277,3.21
72,node/11483245295,3.05
72,node/11833156908,7.93
73,node/2008968277,3.57
73,node/11483245295,3.42
73,node/11833156908,8.3
74,node/1394720950,1.22
74,node/1599814456,4.82
74,node/2008968277,7.68
74,node/10280266203,8.14
74,node/11483245295,7.82
74,node/11833156908,3.52
75,node/431088510,8.19
75,node/497549320,1.35
75,node/517872826,5.61
75,node/517904544,6.2
75,node/1449508274,5.08
75,node/1860020712,8.41
75,node/4262750427,2.29
75,node/13507759987,7.59
76,node/431088510,7.99
76,node/497549320,1.23
76,node/517872826,5.5
76,node/517904544,6.03
76,node/1449508274,4.98
76,node/1860020712,8.22
76,node/4262750427,2.75
76,node/13507759987,7.46
77,node/431088510,7.57
77,node/497549320,0.77
77,node/517872826,5.05
77,node/517904544,5.6
77,node/1449508274,4.53
77,node/1860020712,7.8
77,node/4262750427,2.63
77,node/13507759987,7.01
78,node/431088510,7.88
78,node/497549320,1.05
78,node/517872826,5.33
78,node/517904544,5.9
78,node/1449508274,4.8
78,node/1860020712,8.11
78,node/4262750427,2.4
78,node/13507759987,7.3
79,node/431088510,8.01
79,node/497549320,1.19
79,node/517872826,5.48
79,node/517904544,6.03
79,node/1449508274,4.95
79,node/1860020712,8.23
79,node/4262750427,2.53
79,node/13507759987,7.44
80,node/431088510,7.47
80,node/497549320,0.82
80,node/517872826,5.02
80,node/517904544,5.52
80,node/1449508274,4.5
80,node/1860020712,7.71
80,node/4262750427,2.92
80,node/13507759987,6.96
81,node/431088510,8.48
81,node/497549320,1.9
81,node/517872826,6.09
81,node/517904544,6.56
81,node/1449508274,5.57
81,node/1860020712,8.72
81,node/4262750427,3.35
81,node/13507759987,8.01
82,node/431088510,8.25
82,node/497549320,1.71
82,node/517872826,5.87
82,node/517904544,6.34
82,node/1449508274,5.35
82,node/1860020712,8.49
82,node/4262750427,3.32
82,node/13507759987,7.78
83,node/431088510,8.64
83,node/497549320,2.0
83,node/517872826,6.22
83,node/517904544,6.71
83,node/1449508274,5.7
83,node/1860020712,8.88
83,node/4262750427,3.27
83,node/13507759987,8.15
84,node/431088510,8.01
84,node/497549320,1.33
84,node/517872826,5.56
84,node/517904544,6.07
84,node/1449508274,5.04
84,node/1860020712,8.25
84,node/4262750427,2.96
84,node/13507759987,7.5
85,node/10280266203,8.2
85,node/11469851119,9.94
86,node/10280266203,8.41
86,node/11469851119,9.69
87,node/10280266203,8.48
87,node/11469851119,9.55
88,node/10280266203,8.97
88,node/11469851119,9.41
89,node/1394720950,7.18
89,node/2008968277,0.61
89,node/11483245295,0.46
89,node/11833156908,5.34
90,node/1394720950,6.15
90,node/2008968277,0.44
90,node/11483245295,0.6
90,node/11833156908,4.31
91,node/1394720950,6.76
91,node/2008968277,0.28
91,node/11483245295,0.16
91,node/11833156908,4.98
92,node/1394720950,6.24
92,node/2008968277,0.41
92,node/11483245295,0.52
92,node/11833156908,4.5
93,node/418342927,5.1
94,node/418342927,5.63
94,node/2008968277,9.74
94,node/11483245295,9.6
95,node/579792962,4.13
95,node/579794631,3.59
95,node/673411579,2.29
95,node/2951332985,1.13
95,node/12409171546,8.04
96,node/1599814456,7.57
96,node/10280266203,4.25
97,node/1394720950,7.95
97,node/2008968277,1.62
97,node/11483245295,1.47
97,node/11833156908,6.32
98,node/431088510,0.45
98,node/497549320,6.4
98,node/517872826,2.35
98,node/517904544,1.57
98,node/1449508274,2.83
98,node/1860020712,0.66
